"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",1,"NADS_IMPAIR_2_20220526140427.daq",0,"Dark",1,0,0.10585600740475,0.51465701092318,0.379486981672069,-0.0501941657027289,0.703875923982883,0.0509129398655523
"2",2,"NADS_IMPAIR_3_20220403093825.daq",0,"Dark",1,0,0.116011599361277,0.466579196993212,0.41740920364551,0.246121187358162,0.428436052064459,0.0474774020091753
"3",3,"NADS_IMPAIR_2_20220427083317.daq",0,"Dark",1,0,0.187877284182352,0.44357956764502,0.368543148172628,-0.128098679833197,0.288884599709784,0.0467738392067997
"4",5,"NADS_IMPAIR_3_20220429084416.daq",0,"Dark",1,0,0.127131620844188,0.487335573934228,0.385532805221584,0.225778212425149,0.341026451696144,0.0466419052376936
"5",6,"NADS_IMPAIR_2_20220507135543.daq",0,"Dark",1,0,0.105132424910914,0.395495516258748,0.499372058830337,-0.495612165189691,0.453467393403492,0.0555662428592541
"6",9,"NADS_IMPAIR_3_20220506134935.daq",0,"Dark",1,0,0.11788301821369,0.358250264894319,0.523866716891992,0.11834512654035,0.178558914434496,0.0488952686817354
"7",10,"NADS_IMPAIR_1_20220330084228.daq",0,"Dark",1,0,0.0981422367094703,0.431764930132423,0.470092833158107,-0.230345112141298,0.375693483699166,0.0497148875162179
"8",11,"NADS_IMPAIR_2_20220507082442.daq",0,"Dark",1,0,0.166891168714106,0.426909893756631,0.406198937529263,-0.401134465839205,0.672053598616265,0.0431852455064884
"9",13,"NADS_IMPAIR_1_20220504093724.daq",0,"Dark",1,0,0.185531299922224,0.372433321338869,0.442035378738907,-0.341933240433069,0.618668713317478,0.0479248859633855
"10",14,"NADS_IMPAIR_3_20220410083141.daq",0,"Dark",1,0,0.151334517283864,0.436518141426328,0.412147341289808,0.0342720990580267,0.406917019844558,0.042893060260423
"11",15,"NADS_IMPAIR_1_20220527135536.daq",0,"Dark",1,0,0.187718229922714,0.391342091634199,0.420939678443087,-0.178469851877196,0.536640802266492,0.0401653390376248
"12",16,"NADS_IMPAIR_3_20220415092038.daq",0,"Dark",1,0,0.099841918582697,0.423543156876085,0.476614924541218,0.083861784854785,0.340967819836646,0.050462576988337
"13",17,"NADS_IMPAIR_3_20220511082921.daq",0,"Dark",1,0,0.101383305596018,0.443485366154422,0.45513132824956,-0.732903615877546,0.820287894871528,0.0399822269465447
"14",18,"NADS_IMPAIR_2_20220411084131.daq",0,"Dark",1,0,0.121428028763939,0.481064359520975,0.397507611715086,-1.09721149032508,0.571171938672366,0.0455996849120549
"15",19,"NADS_IMPAIR_3_20220430141153.daq",0,"Dark",1,0,0.173081143588677,0.44989208711433,0.377026769296993,-0.00761179653226593,0.379252005708115,0.047004446089197
"16",21,"NADS_IMPAIR_1_20220502083604.daq",0,"Dark",1,0,0.088249735729213,0.438704576010753,0.473045688260034,-0.208258729547412,0.572786121048712,0.049139074847061
"17",22,"NADS_IMPAIR_2_20220430082844.daq",0,"Dark",1,0,0.149119830266354,0.413697606548475,0.437182563185172,-0.172467449155658,0.548456649666312,0.0439107949004516
"18",23,"NADS_IMPAIR_1_20220528083501.daq",0,"Dark",1,0,0.124875031825055,0.490673409629114,0.384451558545832,0.204776693532278,0.336581865779575,0.047198757009536
"19",24,"NADS_IMPAIR_2_20220506083407.daq",0,"Dark",1,0,0.163315823791195,0.456160767477315,0.380523408731489,-0.266937006540732,0.197181477719655,0.0473624244376928
"20",25,"NADS_IMPAIR_3_20220523083238.daq",0,"Dark",1,0,0.152992966217232,0.380635225003144,0.466371808779624,0.0652893624931905,0.745113633653733,0.0436289137409813
"21",26,"NADS_IMPAIR_1_20220525083546.daq",0,"Dark",1,0,0.185535976677004,0.41630654251567,0.398157480807326,0.079989250651404,0.256866666504701,0.0401502023186038
"22",27,"NADS_IMPAIR_1_20220522083911.daq",0,"Dark",1,0,0.108720367741023,0.419140267268509,0.472139364990468,0.219715917703993,0.159152153754459,0.0455032672818134
"23",1004,"NADS_IMPAIR_1_20220708084102.daq",0,"Dark",1,0,0.158955871713688,0.480438698084929,0.360605430201383,0.171129079318076,0.329177661845862,0.0481197769158904
"24",1007,"NADS_IMPAIR_3_20220529090643.daq",0,"Dark",1,0,0.106960479848053,0.341039823181985,0.551999696969962,0.227326023090049,0.236226142823927,0.0404730277031159
"25",1008,"NADS_IMPAIR_2_20220530132213.daq",0,"Dark",1,0,0.116452409888994,0.456795469652972,0.426752120458034,-0.233705667374228,0.516625606026506,0.0435703079088776
"26",1028,"NADS_IMPAIR_1_20220712142045.daq",0,"Dark",1,0,0.0730924507333639,0.517707514723242,0.409200034543395,-0.424994784170275,0.547900062561668,0.049893233826925
"27",1029,"NADS_IMPAIR_2_20220709135457.daq",0,"Dark",1,0,0.0787682292063372,0.469181292367099,0.452050478426564,-0.452402931209813,0.351628416519267,0.0480500851664143
"28",1030,"NADS_IMPAIR_2_20220710135859.daq",0,"Dark",1,0,0.109459616469813,0.439703138564042,0.450837244966145,-0.653476776054759,0.59580844976435,0.0489965652225733
"29",2012,"NADS_IMPAIR_3_20220709084027.daq",0,"Dark",1,0,0.15267154561225,0.459564712142128,0.387763742245622,-0.0247784700317349,0.445222819601342,0.0414897119984446
"30",2020,"NADS_IMPAIR_1_20220712083309.daq",0,"Dark",1,0,0.136072849020169,0.434686411655145,0.429240739324686,-0.184739986380087,0.580305010601449,0.0386298096134027
"31",1,"NADS_IMPAIR_2_20220526140427.daq",0,"Gravel",1,0,0.221350478096459,0.578832255529477,0.199817266374065,0.739794791083619,0.224510902364887,0.0325469093915184
"32",2,"NADS_IMPAIR_3_20220403093825.daq",0,"Gravel",1,0,0.802779157458837,0.0475096005827725,0.149711241958391,0.73398901947757,0.427681044073261,0.0749850002656371
"33",3,"NADS_IMPAIR_2_20220427083317.daq",0,"Gravel",1,0,0.210326617631901,0.560131902751249,0.229541479616849,0.904390417380106,0.205399335066217,0.0357684670745642
"34",5,"NADS_IMPAIR_3_20220429084416.daq",0,"Gravel",1,0,0.730972119516331,0.103053895255585,0.165973985228083,0.232683564042673,0.135623141784381,0.0671413653498491
"35",6,"NADS_IMPAIR_2_20220507135543.daq",0,"Gravel",1,0,0.954850547817214,0.0451494521827864,0,-0.107497282341538,0.0397612946108415,0.136864679282522
"36",9,"NADS_IMPAIR_3_20220506134935.daq",0,"Gravel",1,0,0.350394228522262,0.467164842442303,0.182440929035435,1.22107158620058,0.655240694937637,0.0725754607747625
"37",10,"NADS_IMPAIR_1_20220330084228.daq",0,"Gravel",1,0,0.729631279318488,0.270368720681511,0,0.151818255333542,0.0750023446786366,0.140887700898993
"38",11,"NADS_IMPAIR_2_20220507082442.daq",0,"Gravel",1,0,0.155199492275228,0.471950039187405,0.372850468537367,0.115148475911274,0.0115107161072822,0.0440843369055157
"39",13,"NADS_IMPAIR_1_20220504093724.daq",0,"Gravel",1,0,1,0,0,1.33940188551007,0.380086353753615,0.135811922166056
"40",14,"NADS_IMPAIR_3_20220410083141.daq",0,"Gravel",1,0,0.170845872765029,0.643961851147977,0.185192276086994,3.22029528276736,0.770570822348102,0.0330895299745683
"41",15,"NADS_IMPAIR_1_20220527135536.daq",0,"Gravel",1,0,0.164543329794918,0.568804327404367,0.266652342800715,3.04999909045391,0.74111821084359,0.0293525522596203
"42",16,"NADS_IMPAIR_3_20220415092038.daq",0,"Gravel",1,0,0.707855458778998,0.179458924871722,0.11268561634928,0.294284823005965,0.0971332943991062,0.0938532547242563
"43",17,"NADS_IMPAIR_3_20220511082921.daq",0,"Gravel",1,0,0.424188658551754,0.575811341448246,0,0.213904012691926,0.141021494540153,0.109685459835961
"44",18,"NADS_IMPAIR_2_20220411084131.daq",0,"Gravel",1,0,0.79132617828914,0.20867382171086,0,0.64083274707961,0.269614356714214,0.109668448110365
"45",19,"NADS_IMPAIR_3_20220430141153.daq",0,"Gravel",1,0,0.899329256870389,0,0.100670743129611,0.064258747354487,0.024443682564936,0.0860878950962365
"46",21,"NADS_IMPAIR_1_20220502083604.daq",0,"Gravel",1,0,0.136008354259016,0.425997426698524,0.43799421904246,1.87320572033652,0.384677054125993,0.0499117715571046
"47",22,"NADS_IMPAIR_2_20220430082844.daq",0,"Gravel",1,0,0.11181361829902,0.730156973600206,0.158029408100774,1.09665101177574,0.351568732154941,0.0341191351391006
"48",23,"NADS_IMPAIR_1_20220528083501.daq",0,"Gravel",1,0,0.120696623626905,0.701656439094046,0.177646937279049,2.54152975708049,0.622183858224427,0.0371205031090459
"49",24,"NADS_IMPAIR_2_20220506083407.daq",0,"Gravel",1,0,0.14524822587317,0.683552733224959,0.17119904090187,1.13294313372364,0.35363107926633,0.0362725736204258
"50",25,"NADS_IMPAIR_3_20220523083238.daq",0,"Gravel",1,0,0.233437939130639,0.493392655212821,0.273169405656539,3.0159849026035,0.585558700337191,0.0407527208877438
"51",26,"NADS_IMPAIR_1_20220525083546.daq",0,"Gravel",1,0,0.878109769025245,0,0.121890230974755,0.182921837702005,0.0689969119188108,0.0668576333544945
"52",27,"NADS_IMPAIR_1_20220522083911.daq",0,"Gravel",1,0,0.159451904879217,0.354602331480181,0.485945763640602,0.252481675720512,0.0689328077484332,0.05856967477351
"53",1004,"NADS_IMPAIR_1_20220708084102.daq",0,"Gravel",1,0,0.11954328864105,0.695817473165617,0.184639238193332,1.26338930331829,0.398966435225201,0.0397725840073593
"54",1007,"NADS_IMPAIR_3_20220529090643.daq",0,"Gravel",1,0,0.430034580839118,0.294983036245569,0.274982382915313,0.436758601373694,0.0725028328311156,0.13439299120327
"55",1008,"NADS_IMPAIR_2_20220530132213.daq",0,"Gravel",1,0,0.148544822402777,0.499935806703036,0.351519370894188,3.04088620969559,0.526745454856821,0.0364744972659695
"56",1028,"NADS_IMPAIR_1_20220712142045.daq",0,"Gravel",1,0,0.114846611090371,0.716069558203389,0.16908383070624,2.45982750947999,0.756455176064439,0.0375104356755795
"57",1029,"NADS_IMPAIR_2_20220709135457.daq",0,"Gravel",1,0,0.128657339379527,0.619418232376987,0.251924428243486,1.41619363641376,0.348319073690141,0.0293471704382143
"58",1030,"NADS_IMPAIR_2_20220710135859.daq",0,"Gravel",1,0,1,0,0,0.35027410528013,0.16257945585197,0.133867630301549
"59",2012,"NADS_IMPAIR_3_20220709084027.daq",0,"Gravel",1,0,0.125061578238914,0.688572951297914,0.186365470463171,1.75244707307193,0.436228980468394,0.0341003649159546
"60",2020,"NADS_IMPAIR_1_20220712083309.daq",0,"Gravel",1,0,0.160012009591005,0.540480189473095,0.2995078009359,0.595881369749041,0.121682103324156,0.0363112863169965
"61",1,"NADS_IMPAIR_2_20220526140427.daq",0,"RuralStr",1,0,0.0167030870352753,0.0230508467906625,0.960246066174062,0.134247086610965,0.114453588201043,0.00111731360942766
"62",2,"NADS_IMPAIR_3_20220403093825.daq",0,"RuralStr",1,0,0.0112915906028388,0.0314519942548222,0.957256415142339,-0.0452583964461582,0.0936362914993966,0.00116893909028384
"63",5,"NADS_IMPAIR_3_20220429084416.daq",0,"RuralStr",1,0,0.0106988574787276,0.0137805763570536,0.975520566164219,0.0422972415264472,0.0909831509967081,0.000773396481374862
"64",6,"NADS_IMPAIR_2_20220507135543.daq",0,"RuralStr",1,0,0.0248127326192403,0.0304061736013064,0.944781093779453,0.0051610732567889,0.271612007631029,0.00188353355941671
"65",10,"NADS_IMPAIR_1_20220330084228.daq",0,"RuralStr",1,0,0.0361249976523824,0.0174329043258404,0.946442098021777,-0.229257438838806,0.30071461132983,0.00354067712610983
"66",11,"NADS_IMPAIR_2_20220507082442.daq",0,"RuralStr",1,0,0.0119472592436096,0.0187332714786549,0.969319469277735,0.0346650056012841,0.22952083947693,0.00105678177536276
"67",13,"NADS_IMPAIR_1_20220504093724.daq",0,"RuralStr",1,0,0.02582964398911,0.0211932110901186,0.952977144920771,0.0490427589063647,0.0444588593681316,0.00151868456594677
"68",14,"NADS_IMPAIR_3_20220410083141.daq",0,"RuralStr",1,0,0.0190442015189363,0.0130982223996872,0.967857576081377,0.226441933016753,0.253701893752282,0.00121227297209992
"69",15,"NADS_IMPAIR_1_20220527135536.daq",0,"RuralStr",1,0,0.0189250618977678,0.0213685043886795,0.959706433713553,0.0288923802779547,0.178635922639046,0.00221831171781029
"70",16,"NADS_IMPAIR_3_20220415092038.daq",0,"RuralStr",1,0,0.0159300236189219,0.0306147576431054,0.953455218737973,-0.0297970418751885,0.204338103163063,0.00155093360955087
"71",17,"NADS_IMPAIR_3_20220511082921.daq",0,"RuralStr",1,0,0.00997225354130804,0.0112826096592519,0.97874513679944,-0.0320486519271162,0.102794038686657,0.000975437799305181
"72",18,"NADS_IMPAIR_2_20220411084131.daq",0,"RuralStr",1,0,0.0139041001370188,0.0156189531737247,0.970476946689256,-0.0279561540727725,0.0868373784378983,0.00169894503163182
"73",19,"NADS_IMPAIR_3_20220430141153.daq",0,"RuralStr",1,0,0.0136307127979873,0.017537153413742,0.968832133788271,-0.060970581880843,0.296061976352488,0.0012606408829008
"74",21,"NADS_IMPAIR_1_20220502083604.daq",0,"RuralStr",1,0,0.0328787298925661,0.00795924382662574,0.959162026280808,-0.0959190659733263,0.0523122396363857,0.00400753709184932
"75",22,"NADS_IMPAIR_2_20220430082844.daq",0,"RuralStr",1,0,0.0100509111002963,0.0114284011123771,0.978520687787326,0.0336719947585193,0.0553026931769834,0.000934193659906572
"76",23,"NADS_IMPAIR_1_20220528083501.daq",0,"RuralStr",1,0,0.0237630832025693,0.00916326276370825,0.967073654033722,0.206535629158899,0.120433168854301,0.00181960052707077
"77",24,"NADS_IMPAIR_2_20220506083407.daq",0,"RuralStr",1,0,0.0165747230661752,0.00884583553621536,0.974579441397609,0.0570433439171899,0.0531699306981233,0.00138948422283459
"78",25,"NADS_IMPAIR_3_20220523083238.daq",0,"RuralStr",1,0,0.736268337380386,0.0744319413078716,0.189299721311742,-9.125565243414,13.7875933974496,0.00702081570708165
"79",26,"NADS_IMPAIR_1_20220525083546.daq",0,"RuralStr",1,0,0.0224420978002319,0.0181170022907036,0.959440899909064,0.0871711032738138,0.192666185930449,0.00119441662344068
"80",27,"NADS_IMPAIR_1_20220522083911.daq",0,"RuralStr",1,0,0.685720410879056,0.0276749869156492,0.286604602205295,-7.63142009454981,-2.40468504445019,0.0246768993561691
"81",1004,"NADS_IMPAIR_1_20220708084102.daq",0,"RuralStr",1,0,0.0141994067285278,0.0229008587157697,0.962899734555702,0.0460591613256622,0.108934430941454,0.00169931271077709
"82",1008,"NADS_IMPAIR_2_20220530132213.daq",0,"RuralStr",1,0,0.0327567655468518,0.00330321344718355,0.963940021005965,0.0124586455666725,0.116979498320686,0.00521873206483153
"83",1028,"NADS_IMPAIR_1_20220712142045.daq",0,"RuralStr",1,0,0.013197218521121,0.00846688912684273,0.978335892352036,-0.10951852318855,0.125151853288612,0.00157655113875485
"84",1029,"NADS_IMPAIR_2_20220709135457.daq",0,"RuralStr",1,0,0.0123831197195846,0.0146198633625024,0.972997016917913,0.0130248470454899,0.126113565055867,0.00101527361264977
"85",2012,"NADS_IMPAIR_3_20220709084027.daq",0,"RuralStr",1,0,0.0171220900921609,0.00977420438501142,0.973103705522828,0.0324349632990023,0.168704606783163,0.00181092662166661
"86",2020,"NADS_IMPAIR_1_20220712083309.daq",0,"RuralStr",1,0,0.0131673630293112,0.0331338546501433,0.953698782320546,0.197360835336134,0.236310063161963,0.00185239243412765
